Park_ID,Indicator_ID,Indicator_Name,Dimension,Availability_Status,Definition,Unit,Current_Value,Data_Year,Evidence_ID,Missing_Reason,Required_Data,Responsible_Department,Evidence_Requirement
NAT-046,C11,危险化学品从业单位安全生产标准化建设,C,MISSING,园区危险化学品生产、经营、储存等企业安全生产标准化建设情况,—,,,,M01_NOT_COLLECTED,园区危险化学品生产、经营、储存等企业安全生产标准化建设情况；单位=%,应急与安全部门,OFFICIAL_STATISTICS
NAT-046,C12,安全风险等级,C,MISSING,园区整体安全风险等级评估结果,—,,,,M01_NOT_COLLECTED,园区整体安全风险等级评估结果；单位=等级,应急与安全部门,OFFICIAL_STATISTICS
NAT-046,C13,安全生产事故发生等级,C,MISSING,年度生产安全事故情况,—,,,,M01_NOT_COLLECTED,年度生产安全事故情况；单位=等级,应急与安全部门,OFFICIAL_STATISTICS
NAT-046,C21,大气环境质量达标率,C,MONITORING_REQUIRED,园区环境空气质量达标情况,%,,,,M01_NOT_COLLECTED,园区环境空气质量达标情况；单位=%,生态环境部门,MONITORING_EXPORT
NAT-046,C22,地表水环境质量达标率,C,MONITORING_REQUIRED,园区地表水断面达标情况,%,,,,M01_NOT_COLLECTED,园区地表水断面达标情况；单位=%,生态环境部门,MONITORING_EXPORT
NAT-046,C23,地下水质量达标率,C,MONITORING_REQUIRED,地下水监测点位达标情况,%,,,,M01_NOT_COLLECTED,地下水监测点位达标情况；单位=%,生态环境部门,MONITORING_EXPORT
NAT-046,C24,土壤质量达标率,C,MONITORING_REQUIRED,土壤环境质量监测达标情况,%,,,,M01_NOT_COLLECTED,土壤环境质量监测达标情况；单位=%,生态环境部门,MONITORING_EXPORT
NAT-046,C31,单位工业总产值COD排放量,C,MONITORING_REQUIRED,单位工业总产值化学需氧量排放量,t/100m CNY,,,,M01_NOT_COLLECTED,COD排放量；同年度工业总产值；统计边界,生态环境部门,MONITORING_EXPORT
NAT-046,C32,单位工业总产值氨氮排放量,C,MONITORING_REQUIRED,单位工业总产值氨氮排放量,t/100m CNY,,,,M01_NOT_COLLECTED,NH3-N排放量；同年度工业总产值；统计边界,生态环境部门,MONITORING_EXPORT
NAT-046,C33,单位工业总产值SO₂排放量,C,MONITORING_REQUIRED,单位工业总产值二氧化硫排放量,t/100m CNY,,,,M01_NOT_COLLECTED,SO2排放量；同年度工业总产值；统计边界,生态环境部门,MONITORING_EXPORT
NAT-046,C34,单位工业总产值氮氧化物排放量,C,MONITORING_REQUIRED,单位工业总产值NOx排放量,t/100m CNY,,,,M01_NOT_COLLECTED,NOx排放量；同年度工业总产值；统计边界,生态环境部门,MONITORING_EXPORT
NAT-046,C35,单位工业总产值VOCs排放量,C,DEFINITION_PENDING,单位工业总产值挥发性有机物排放量,DEFINITION_PENDING,,,,M06_DEFINITION_UNCLEAR,VOCs排放量；同年度工业总产值；人工锁定定义,生态环境部门,MONITORING_EXPORT
NAT-046,C41,单位工业总产值新鲜取水量,C,MONITORING_REQUIRED,每单位工业产值消耗的新鲜水资源,"m3/10,000 CNY",,,,M01_NOT_COLLECTED,新鲜水取用量；工业增加值；统计年度；统计边界,水务部门,MONITORING_EXPORT
NAT-046,C42,再生水（中水）回用率,C,MONITORING_REQUIRED,再生水利用比例,%,,,,M01_NOT_COLLECTED,再生水实际利用量；园区总用水量；统计年度；统计边界,水务部门,MONITORING_EXPORT
NAT-046,C51,单位工业增加值能耗削减率,C,MONITORING_REQUIRED,单位工业增加值综合能耗下降幅度,"tce/10,000 CNY",,,,M01_NOT_COLLECTED,综合能源消费量；工业增加值；统计年度；统计边界,能源与碳管理部门,MONITORING_EXPORT
NAT-046,C52,绿色电力使用,C,MONITORING_REQUIRED,绿色电力消费比例,"tCO2/10,000 CNY",,,,M01_NOT_COLLECTED,CO2排放量；工业增加值；统计年度；统计边界,能源与碳管理部门,MONITORING_EXPORT
NAT-046,C53,单位工业增加值CO₂排放量削减率,C,MONITORING_REQUIRED,单位工业增加值碳排放下降幅度,%,,,,M01_NOT_COLLECTED,单位工业增加值碳排放下降幅度；单位=%,能源与碳管理部门,OFFICIAL_STATISTICS
NAT-046,C54,绿色工厂示范企业数量,C,PARK_SURVEY_REQUIRED,国家级、省级绿色工厂数量,count,,,,M01_NOT_COLLECTED,国家级、省级绿色工厂数量；单位=个,企业服务部门,OFFICIAL_STATISTICS
